srcIP	dstIP	label	attack	transcription
40.83.143.209	192.168.10.14	0	Normal	47555
192.168.10.12	192.168.10.3	0	Normal	3035825
192.168.10.9	192.168.10.3	0	Normal	3017955
192.168.10.15	13.107.4.50	0	Normal	2622497
192.168.10.14	209.48.71.168	0	Normal	1939008
192.168.10.16	192.168.10.3	0	Normal	3029829
192.168.10.17	192.168.10.3	0	Normal	3016469
192.168.10.8	192.168.10.3	0	Normal	2994366
192.168.10.5	192.168.10.3	0	Normal	3012539
192.168.10.16	91.189.88.161	0	Normal	31424
192.168.10.15	192.168.10.3	0	Normal	2992230
192.168.10.14	192.168.10.3	0	Normal	3048691
192.168.10.15	64.4.54.254	0	Normal	2907832
192.168.10.14	65.55.138.111	0	Normal	114
192.168.10.14	23.194.182.93	0	Normal	57349
192.168.10.14	40.70.221.249	0	Normal	3034079
192.168.10.14	65.55.44.109	0	Normal	3008381
192.168.10.14	134.170.51.247	0	Normal	12785
192.168.10.15	131.253.61.82	0	Normal	263491
192.168.10.14	165.254.0.90	0	Normal	180681
23.61.187.27	192.168.10.15	0	Normal	2876223
192.168.10.14	104.88.33.160	0	Normal	179740
192.168.10.14	40.77.226.220	0	Normal	11434
192.168.10.14	23.217.36.24	0	Normal	157713
192.168.10.14	13.107.4.50	0	Normal	1992350
192.168.10.12	192.168.10.50	0	Normal	3043352
192.168.10.50	192.168.10.3	0	Normal	3040934
65.55.138.111	192.168.10.15	0	Normal	10215
192.168.10.9	2.16.4.144	0	Normal	17646
192.168.10.9	192.168.10.50	0	Normal	2987072
192.168.10.9	52.197.242.182	0	Normal	924
192.168.10.9	54.65.28.113	0	Normal	824
192.168.10.9	173.194.206.108	0	Normal	2632292
192.168.10.9	172.217.10.238	0	Normal	1922620
192.168.10.9	172.217.11.46	0	Normal	2548598
192.168.10.9	172.217.12.174	0	Normal	2880667
192.168.10.9	52.33.209.128	0	Normal	6129
192.168.10.9	72.21.91.29	0	Normal	2955575
192.168.10.15	137.116.74.190	0	Normal	80550
137.116.74.190	192.168.10.14	0	Normal	64631
192.168.10.15	23.63.226.146	0	Normal	6010
192.168.10.12	173.194.206.109	0	Normal	1024291
192.168.10.14	131.253.61.66	0	Normal	276793
192.168.10.14	65.55.252.202	0	Normal	282895
192.168.10.12	184.84.243.199	0	Normal	2756537
192.168.10.15	23.217.36.24	0	Normal	77112
192.168.10.15	104.88.33.160	0	Normal	176044
192.168.10.15	165.254.0.106	0	Normal	532892
192.168.10.15	23.15.4.24	0	Normal	961601
192.168.10.12	202.55.13.210	0	Normal	6821
192.168.10.15	64.4.54.36	0	Normal	28340
192.168.10.15	65.52.98.233	0	Normal	28553
192.168.10.15	13.78.188.147	0	Normal	2629754
192.168.10.12	172.217.12.174	0	Normal	2674298
192.168.10.12	172.217.11.46	0	Normal	2786551
192.168.10.12	54.231.112.171	0	Normal	6059
192.168.10.12	54.200.60.113	0	Normal	1034859
192.168.10.12	72.21.91.29	0	Normal	2976079
192.168.10.12	91.189.88.149	0	Normal	3510
192.168.10.12	91.189.95.83	0	Normal	310
192.168.10.14	64.4.54.36	0	Normal	19
192.168.10.14	65.52.98.233	0	Normal	228
192.168.10.14	23.194.141.143	0	Normal	27
192.168.10.14	23.194.142.54	0	Normal	2584482
192.168.10.14	40.80.145.78	0	Normal	8916
192.168.10.14	23.194.141.101	0	Normal	2584752
192.168.10.14	184.84.243.224	0	Normal	8849
192.168.10.14	204.79.197.200	0	Normal	2656286
192.168.10.14	13.107.21.200	0	Normal	2116247
192.168.10.14	23.15.4.24	0	Normal	2914607
192.168.10.9	52.40.81.184	0	Normal	6282
192.168.10.14	209.48.71.169	0	Normal	6087
192.168.10.14	23.194.181.138	0	Normal	7017
192.168.10.14	134.170.111.154	0	Normal	6118
192.168.10.14	131.253.14.195	0	Normal	3320
192.168.10.14	198.41.215.182	0	Normal	4616
192.168.10.14	23.194.142.4	0	Normal	10926
192.168.10.12	35.167.220.41	0	Normal	12146
192.168.10.12	34.211.94.203	0	Normal	6128
192.168.10.14	104.97.95.20	0	Normal	146520
192.168.10.14	184.84.243.199	0	Normal	2888150
192.168.10.14	104.88.7.7	0	Normal	168336
192.168.10.14	52.38.199.186	0	Normal	6230
192.168.10.14	52.11.17.245	0	Normal	6044
192.168.10.14	72.21.91.29	0	Normal	2986226
192.168.10.14	52.84.64.19	0	Normal	11558
192.168.10.14	221.122.85.184	0	Normal	3012
192.168.10.25	192.168.10.3	0	Normal	2995639
192.168.10.14	172.217.12.174	0	Normal	2626053
192.168.10.14	172.217.11.46	0	Normal	2763193
192.168.10.14	35.160.9.151	0	Normal	2568887
192.168.10.9	35.166.101.186	0	Normal	691286
192.168.10.5	134.170.165.249	0	Normal	2861
192.168.10.5	23.15.4.16	0	Normal	10671
192.168.10.14	52.11.31.31	0	Normal	2392767
192.168.10.5	23.208.104.165	0	Normal	2855020
192.168.10.5	23.194.141.101	0	Normal	2133966
192.168.10.14	54.149.95.48	0	Normal	1721318
192.168.10.5	23.217.41.219	0	Normal	154961
192.168.10.5	23.15.4.9	0	Normal	2209405
192.168.10.5	104.88.60.48	0	Normal	513954
198.252.206.25	192.168.10.50	0	Normal	362444
192.168.10.5	23.194.181.149	0	Normal	9732
192.168.10.25	192.168.10.50	0	Normal	2990011
192.168.10.5	23.208.217.149	0	Normal	47162
192.168.10.5	40.87.63.92	0	Normal	8427
192.168.10.5	65.55.252.202	0	Normal	57568
192.168.10.5	184.84.243.207	0	Normal	944507
192.168.10.5	192.168.10.50	0	Normal	2968255
192.168.10.5	13.82.187.188	0	Normal	32037
192.168.10.5	184.84.243.199	0	Normal	2927441
192.168.10.3	104.40.17.139	0	Normal	2548016
192.168.10.5	216.58.219.195	0	Normal	2739374
