srcIP	dstIP	label	attack	transcription
192.168.10.50	192.168.10.3	0	Normal	""PP""""PP""!!!!!!!!!!!!!!!!""PP""""PP""!!!!!!!!!!!!!!!""PP""""PP""!!!!!!!!!!!!!!!!""PP""""PP""
192.168.10.14	65.55.44.109	0	Normal	"P""RRQ""P#$PP"
192.168.10.19	192.168.10.3	0	Normal	""PP""""PP""""""PPPP""PP""""RUS""""PP""$P$"PRR"P"""PPP$$PP"PP"""PP""""PPPP""PP""""RU"S"""PP""$P$PR"R"""PPPP$$PP"PP"P""P""PP""PP""""PP""!""PP""""PP""""""PPPP""PP""""R"US"""PP""$$PPRR""""PPPP$$PP"PP"P""P""PP""PP""""!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!""QQ""""QQ""""PP""""QQ""
192.168.10.12	192.168.10.3	0	Normal	""PP""""PP""""""PPPP""PP""""RUS"""P"P""$P$PR"R"""PPPP$$PP""""PP""PP""PP""PP""""""PPPP"PP"""""PP""PP""""PP"""P"P""""PP""""""PPPP""PP""""RUS""""PP""$P$PRR""""PPPP$$PP""PP""PP""PP""PP""PP""PP""QQ""""""QQ""""PP""""QQ""""QQ""""PP""!""PP""""PP""""PP""PP""""""PP""""PP""!!!!""PP""""PP""!!""PP""""PP""PP""PP""""PP""""PP""""PP""""PP""PP""$'$PPPP""""""PPPP
192.168.10.15	192.168.10.3	0	Normal	""PP""""PP""PP""PP""""P""P""PP""PPPP""PP""""RR""""PPPP""PP""%%PPRR""""PPPP%%PPPP""PP""PP""PP""PP""PP%%PPPP""PP""PP""PP""PP""PP""PP""""PP""PP""PP""PP""PP"P"P""""PP""PP""""PP""PPPP""PP""""RR""""PPPP""PP""$$PPRR""""PPPP""PP""$$RR"P"PPP$'%PPPP""PP""PP""PP""""""""##QQ""!!!""PP""""RTR""""PP""%%PPRR""""PPPP%%PPPP""PP""PP""!!""PP%%PPPP""PP""PP""PP""PP""PP""""!!!!!""PP""PP""PP""PP""""""PP""""RTR""%%PPPP""PP""PP""PP""PP""PP""PP""%%PPPP""PP""PP""""PP""PPPP"P"P""""RR""""PPPP""PP""$P$PR"RP"""PPP##PP"P"P""PP""PP""""RTR""%%PPPP""""PP""$$PPRR""""PPPP""PP"P"P""%%PPPP""PP""PP""""!##RR""!""PP""PP""""PP""""PP""PP""PP""%%PPRR"PPP"""P"P"P""$$RR"P"PPP$'%PPPP""PP""PP""PP""""PP""PP""PP""PP""QQ""PP""PP""PP""PP""PP""PP""PP""PP""PP""PP""PP""PP""QQ""PP""QQ""PP""PP""PP""QQ##PP""PP""PP""PP""PP""PP""PP""PP""PP""PP""PP""QQ""PP""PP""PP""PP""PP""PP""PP""PP""PP""PP""PP""RUUUVS""""""PP""QQ""PP""PP""PP""PP""PP""PP""PP""PP""PP""PP""PP""PP""PP""PP""PP""PP""PP""""PP""PP""PP""PP""PP""PP""PP""PP""PP""PP""QQ""!""PP!!!!""P""PPPPPPP""""!!!!""PP""PP""PP""PP""PP""!!!!!!!!!!!!!!!!!!!!!!!!!""""PPPP!!!!""PP
192.168.10.8	192.168.10.3	0	Normal	""PP""""PP""PP""PP""PP""PP""""PP""""PP""PP""PP""""PP""PP""""PP""PPPP""PP""""PP""PP""PP""PP""""""PPRR""""PPPP##""QPQP""$$PP""PPRR""""PPPP%%PPPP""PP""PP""""PP""PP""PP""PP""PP""PP""PP""PP""""RTR""""PP""""PP""PPPP""PP""""RR""""PPPP"P"P""$P$PR"R"""PPPP%%PPPP""""PPPP""""""""""PP""PP""""RTR""$$PPPP""P"P"$$PPRR"""P"PPP""PP""PP""$$RR"P"PPP""PP""$P&$PPP"PPPP"""PP""$$PPPP""PP""PP""RR""PP""""PP""PP""$$PP"RR"P"P"PP"P"""P$$RR"P"PPPPP$'$PP""PP""PP""PP""PP""PP""PP""PP""""PPPP""""""!""PP""PP""PP""PP""QQ""PP""""""PPPP!!!!!""PP""""RTR""$$PPPP""PP""PP""PP""PP""PP""$$PPPP""PP""PP""""PP""PPPP""PP""""RR""""PPPP""PP""$$PPRR""""PPPP##PP""P"""PPPPP"""PP!""PP""PP"""P"PPPPP""""!!!!!""PP""PP"P"P""!!!!!!!!!!""""PPPPPPPP"""""PP"PP""!!!!""PPPP""
192.168.10.15	131.253.61.98	0	Normal	"P""Q""P!!"P""RRR"R""P"$(PPRRU"RR"S""P!!!!!"P""RRR"R""P"$(PPRRR"R"R"U""P
192.168.10.15	23.63.226.146	0	Normal	"P""PP"
192.168.10.15	23.60.139.27	0	Normal	"P""PS"!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!P""P!!!!!!!!!!!!!!!!!!"P""PS"
192.168.10.14	192.168.10.50	0	Normal	""PP""PP""PPPP""PPPP""PPPP""PP""PP""""PP$'$$'$PP$&#PP%%PP""P"P"PP""""PPPP""""PP
192.168.10.15	64.4.54.253	0	Normal	"P""RRQ""P#P#P#P#P#P#P#P"
