srcIP	dstIP	label	attack	transcription
192.168.10.50	192.168.10.3	0	Normal	''QQ""''TT""!!!!!!!!!!!!!!!!''QQ""''TT""!!!!!!!!!!!!!!!!''QQ""''TT""!!!!!!!!!!!!!!!''QQ""''TT""
192.168.10.9	192.168.10.3	0	Normal	""PP""$$QQ$$SS""PP""$$QQ$$PP$$PP##QQ%%QQ""PP""$$SS##SS""PP""%%RR"P"PPP""PP""%%aa""""PPPP""PP""3P3Paa""""PPPP"P"""P22``"P"PPP2D4PPSS##QQ##RR""PP""&&`n]""""PP""44PPaa""""PPPP55PPRR""PPPP"""""""",,[[""!!!!!!!!!####PPQQQQ""""!!!!!!!!!!!!!!!""""PPPPPP"PP"""!!!!!""PP""$$QQ$$RR""PP""$$QQ%%RR""""""PP""$$SS##SS2D4PPSS##QQ##RR$$RR""PP""%%RR"P"PPP""PP""%%aa""""PPPP""PP""44PPaa""""PPPP66PPSS$$QQ%%RR%%TT%%TT$$RR""""""""PP""&&`n]""55PPRR""PP""3P3Paa""""PPPP$$VV""PP""22""PP``P""""PPP""PP""22P--PQ"QPPPP55PP"RR$$RR$$RR''^^""PP""""PP""##SS""PP""3P3Paa""""PPPP"P"P""22``"P"PPP2C2PP$$SS##QQ$$RR$$SS##QQ''TT$$RR$$RR##\\"""""PP"PP!!!!!!!!!!!!##QQ######PQPQQQQQ""""""!!!!!!!!!""PPPP""!!####PQPQQQ""""
192.168.10.14	192.168.10.3	0	Normal	""PP""##QQ$$RR""PP""""PP""$$SS""PP""%%RR"PPP"P""PP""%%RRP""PPP""PP""%%aa""""PPPP""""PP""%%aa""""PPPP"""P"P""P""P""444P4PPPa"aaP"""a""PPP""PPPP""PP66P""P11``""PPPSSP$$2D4PPQQ%%RRSS##QQ##U##UR"R"%%SS$$RR$$RR55PPSS$$QQ$$RR%%RR$$RR$$SS""PP""##QQ##PP$$PP##QQ$$QQ""""""**XX""""PP""&&`n]"""PP"""44PPaa""""PPPP55PPRR""PP""PP!!!!!$$RR55PPSS$$QQ$$RR%%SS%%SS$$RR""""""PP""&&`n]""!!55PPRR""##RR""""PP""4P4Paa""""PPPP$$VV""""PP""55PPRR$$RR$$RR""))^^""""PP""4P4Paa""""PPPP""PP""11``""PPPP2E4PPSS##QQ''TT##QQ##QQ""&&TT$$ZZ''TT##QQ#Q#Q&&SS#Q#Q#Q#Q##QQ#Q#Q#Q#Q$$RR#Q#Q##WW''TT$$VV''TT$$VV''TT$$VV((TT##QQ#Q#Q&&SS#Q#Q#Q#Q##QQ#Q#Q##QQ#Q#Q##\\''TT##QQ#Q#Q&&SS#Q#Q#Q#Q#Q#Q#Q#Q#Q#Q#Q#Q##`qqqu""""d&&TT$$WW''TT$$TT''TT$$TT''SS##QQ##QQ&&SS#Q#Q#Q#Q##QQ#Q#Q##QQ#Q#Q##QQ""PP""##QQ##QQ&&SS##QQ#Q#Q##QQ#Q#Q#Q#Q#Q#Q##\\""$$RR##QQ$$SS$$""SS""!""PP!!!!""PP""&&`n]""55PPRR##RR##RR$$RR$$QQ$$QQ""""PP""55PPRR##RR""PP""%%RR""PPPP"P"P""%%aa"P"""PPP""PP""33PPaa""""PPPP--QQ""PPPP""""PP!!##QQ##QQ##QQ##QQ#Q#Q##QQ""!""""PPPPPPPP""""!!!##QQ""!!!!!!!!!!!!!!!!!!!!!!!!!!""PPPP""!!!""PP
192.168.10.5	192.168.10.3	0	Normal	""PP""$$QQ$$SS""PP""$$QQ$$PP$$PP##QQ%%QQ,,[[""PP""$$SS##SS""PP""%%RR""PPPP""PP""%%aa""""PPPP""PP""P44Pa"a"""PPPP""PP""11``P""PPP2D4PPSS##QQ$$RR##UU##RR""""""""PP""&&`n]"""PP"""44PPaa""""PPPP55PPRR""PP$$RR""PP""""PP""%%RR"P"PPP""PP""%%aa""""PPPP""PP""4P4Pa"aPPP"""P66PPSS$$QQ%%RR%%TT%%TT$$RR""""##RR""""PP""&&`n]""55PPRR""PP""P44Paa""P""PPP$$VV""""PP""55PPRR$$RR$$RR))^^"P"P""44PPa"a"""PPPP""PP""11``"P"PPP2D4PPSS##QQ$$RR''TT##QQ&&TT$$ZZ''TT&&SS$$RR##WW''TT$$VV''TT$$VV''TT$$VV((TT&&SS##\\''TT&&SS##`q``qu""d&&TT$$WW''TT$$TT''TT$$TT''SS&&SS##QQ""PP""""&&SS##\\"""""PPP"P$$RR$$QQ%%TT$$TT""""!!!!!!""PP""&&`n]""55PPRR##RR##RR$$RR$$QQ$$QQ""""PP""55PPRR##RR""PP""%%RR""PPPP"P"P""%%aa"P"""PPP"P"P""3P3Pa"aPP"""PP--QQ""PP""PP""PP""PP##QQ##QQ##QQ##QQ#Q#Q##QQ""!!!!!##QQ""!!"""PPPP""PPPP"""!!!!!!!!!!!!!!!!!!!!!!!!!!!""PP!!""PPPP""
192.168.10.5	134.170.115.55	0	Normal	"P"$P!!!!!!!!!!!!!!!!!!!!!!!!q"Y$P
192.168.10.14	131.253.61.80	0	Normal	"P"%V""P"P"!!!!$```"]"!!$Q'2IPP```"`"`""s#"P!!"P"$```"]"$Q'2HPP```"`"`""s#"P!!!!!!!!!!!!!!!!"P"$```"]"$Q'2IPP``q"`s"#"P
192.168.10.25	192.168.10.3	0	Normal	""PP""""PP""##`qa""""""""PPPP""PPPP""PPPP!!!!!""PP""""PP""##`qa""""PPPP""PP11RR""""QQ""##PP""$$SS""$$SS""$$SS""$$SS""$$SS""$$SS""$$SS""$$SS""$$SS""$$SS""$$SS""$$SS""$$SS""$$SS""$$SS""$$SS""$$SS""$$SS""$$SS""$$SS""$$SS""$$SS""$$SS""$$SS""$$SS""$$SS""$$SS""$$SS""$$SS""$$SS""$$SS""$$SS""&&```qqqqqqqqqqq`""`qqqq``qq""qqqqqqqq""""""qqq``qqq`"""`qqqqqqq"""""""q`ff222*P2*P`qqqqqqq"qqqqp`"""""""&&QQ""&&QQ""&&WW""&&QQ""&&ZZ""&&QQ""&&__""&&[[""&&QQ""&&VV""&&aa""%%SS""$$TT""%%TT""$$RR""$$SS""$$SS""&&VV""&&VV""&&VV""""PP""""PP""##`qa""""PPPP""PP11RR""""QQ""##P"P"""PP""##QQ""##QQ""""RR""""PP""##QQ""##QQ""""RR""""""PPPP""PPPP"P"P%%RR""''XX""%%WW""$$TT""&&VV""''QQ""''QQ""%%RR""&&VV""$$QQ""$$QQ""$$TT""&&UU""%%RR""%%UU""&&UU""&&WW""%%RR""$$SS""&&WW""((YY""$$TT""&&VV""%%TT""%%TT""$$QQ""%%RR""%%UU""&&WW""""PP""##`qa""11RR""""QQ""##P"P"""PP""##`qa""11RR""""QQ""##PP""%%cc""%%RR""&&VV""&&VV""$$TT""&&UU""%%RR""%%UU""&&[[""&&VV""&&VV""%%QQ""%%RR""''XX""&&VV""!!!!!!##PP##PP!!%%TT""%%TT""$$QQ""%%RR""$$``""!!!!!!!!!!!!!!!!!!!!!!!!!!!%%RR""%%UU""&&WW""%%RR""%%UU""&&WW""
192.168.10.14	65.152.202.208	0	Normal	"P"%PS"
192.168.10.9	23.15.4.16	0	Normal	"P"#PRP""P
192.168.10.14	23.50.75.27	0	Normal	"P"%Ph"!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!P""P
