srcIP	dstIP	label	attack	transcription
192.168.10.50	192.168.10.3	0	Normal	""PP""""PP""!!!!!!!!!!!!!!!!""PP""""PP""!!!!!!!!!!!!!!!!""PP""""PP""!!!!!!!!!!!!!!!""PP""""PP""
192.168.10.9	192.168.10.3	0	Normal	""PP""""PP""PP""PP""""PP""PP""PP""PP""PP""PP""""PP""PP""PP""""PP"P"PPP""PP""""RR""""PPPP""PP""$P$PRR""""PPPP"P"""P$$RR"P"PPP$'%PPPP""PP""PP""PP""""RTR""""PP""$$PPRR""""PPPP%%PPPP""PPPP""""""""##QQ""!!!!!!!!!""""PPPPPP""""!!!!!!!!!!!!!!!""""PPPPPP"PP"""!!!!!""PP""""PP""PP""PP""""PP""PP""""""PP""""PP""PP$'%PPPP""PP""PP""PP""PP""""PP"P"PPP""PP""""RR""""PPPP""PP""$$PPRR""""PPPP%%PPPP""PP""PP""PP""PP""PP""""""""PP""""RTR""%%PPPP""PP""$P$PRR""""PPPP""PP""PP""$$""PPRRP""""PPP""PP""$$P##PP"PPPPP%%PP"PP""PP""PP""RR""PP""""PP""""PP""PP""$P$PRR""""PPPP"P"P""$$RR"P"PPP$'$PP""PP""PP""PP""PP""PP""PP""PP""PP""QQ"""""PP"PP!!!!!!!!!!!!""PP""""""PPPPPPPP""""""!!!!!!!!!""PPPP""!!""""PPPPPP""""
192.168.10.14	192.168.10.3	0	Normal	""PP""""PP""PP""PP""""PP""""PP""PP""""PP"PPP"P""PP""""PPP""PPP""PP""""RR""""PPPP""""PP""""RR""""PPPP"""P"P""P""P""$$$P$PPPR"RRP"""R""PPP""PPPP""PP%%P""P$$RR""PPPPPP""$'%PPPP""PPPP""PP""P""PP"P"""PP""PP""PP%%PPPP""PP""PP""PP""PP""PP""PP""""PP""PP""PP""PP""PP""""""##QQ""""PP""""RTR"""PP"""$$PPRR""""PPPP%%PPPP""PP""PP!!!!!""PP%%PPPP""PP""PP""PP""PP""PP""""""PP""""RTR""!!%%PPPP""""PP""""PP""$P$PRR""""PPPP""PP""""PP""%%PPPP""PP""PP""##RR""""PP""$P$PRR""""PPPP""PP""$$RR""PPPP$'%PPPP""PP""PP""PP""PP""""PP""QQ""PP""PP"P"P""PP"P"P"P"P""PP"P"P"P"P""PP"P"P""QQ""PP""QQ""PP""PP""PP""QQ##PP""PP"P"P""PP"P"P"P"P""PP"P"P""PP"P"P""QQ""PP""PP"P"P""PP"P"P"P"P"P"P"P"P"P"P"P"P""RUUUV""""S""PP""QQ""PP""PP""PP""PP""PP""PP""PP""PP"P"P"P"P""PP"P"P""PP"P"P""PP""PP""""PP""PP""PP""PP"P"P""PP"P"P"P"P"P"P""QQ""""PP""PP""PP""""PP""!""PP!!!!""PP""""RTR""%%PPPP""PP""PP""PP""PP""PP""""PP""%%PPPP""PP""PP""""PP""PPPP"P"P""""RR"P"""PPP""PP""$$PPRR""""PPPP##PP""PPPP""""PP!!""PP""PP""PP""PP"P"P""PP""!""""PPPPPPPP""""!!!""PP""!!!!!!!!!!!!!!!!!!!!!!!!!!""PPPP""!!!""PP
192.168.10.5	192.168.10.3	0	Normal	""PP""""PP""PP""PP""""PP""PP""PP""PP""PP##QQ""PP""""PP""PP""PP""""PP""PPPP""PP""""RR""""PPPP""PP""P$$PR"R"""PPPP""PP""$$RRP""PPP$'%PPPP""PP""PP""PP""PP""""""""PP""""RTR"""PP"""$$PPRR""""PPPP%%PPPP""PP""PP""PP""""PP""""PP"P"PPP""PP""""RR""""PPPP""PP""$P$PR"RPPP"""P%%PPPP""PP""PP""PP""PP""PP""""""PP""""PP""""RTR""%%PPPP""PP""P$$PRR""P""PPP""PP""""PP""%%PPPP""PP""PP##RR"P"P""$$PPR"R"""PPPP""PP""$$RR"P"PPP$'%PPPP""PP""PP""PP""PP""PP""QQ""PP""PP""PP""QQ""PP""QQ""PP""PP""PP""QQ##PP""PP""QQ""PP""PP""RURRUV""S""PP""QQ""PP""PP""PP""PP""PP""PP""PP""PP""""""PP""QQ"""""PPP"P""PP""PP""PP""PP""""!!!!!!""PP""""RTR""%%PPPP""PP""PP""PP""PP""PP""""PP""%%PPPP""PP""PP""""PP""PPPP"P"P""""RR"P"""PPP"P"P""$P$PR"RPP"""PP##PP""PP""PP""PP""PP""PP""PP""PP""PP"P"P""PP""!!!!!""PP""!!"""PPPP""PPPP"""!!!!!!!!!!!!!!!!!!!!!!!!!!!""PP!!""PPPP""
192.168.10.5	134.170.115.55	0	Normal	"P""P!!!!!!!!!!!!!!!!!!!!!!!!U"Q"P
192.168.10.14	131.253.61.80	0	Normal	"P""Q""P"P"!!!!"RRR"R"!!"P"$(PPRRR"R"R""U""P!!"P""RRR"R""P"$(PPRRR"R"R""U""P!!!!!!!!!!!!!!!!"P""RRR"R""P"$(PPRRU"RU"""P
192.168.10.25	192.168.10.3	0	Normal	""PP""""PP""""RUR""""""""PPPP""PPPP""PPPP!!!!!""PP""""PP""""RUR""""PPPP""PP$$PP""""PP""""PP""""PP""""PP""""PP""""PP""""PP""""PP""""PP""""PP""""PP""""PP""""PP""""PP""""PP""""PP""""PP""""PP""""PP""""PP""""PP""""PP""""PP""""PP""""PP""""PP""""PP""""PP""""PP""""PP""""PP""""PP""""PP""""PP""""RRRUUUUUUUUUUUR""RUUUURRUU""UUUUUUUU""""""UUURRUUUR"""RUUUUUUU"""""""URSS$$$#P$#PRUUUUUUU"UUUUUR"""""""""PP""""PP""""QQ""""PP""""QQ""""PP""""RR""""QQ""""PP""""QQ""""RR""""PP""""PP""""PP""""PP""""PP""""PP""""QQ""""QQ""""QQ""""PP""""PP""""RUR""""PPPP""PP$$PP""""PP""""P"P"""PP""""PP""""PP""""PP""""PP""""PP""""PP""""PP""""""PPPP""PPPP"P"P""PP""""QQ""""QQ""""PP""""QQ""""PP""""PP""""PP""""QQ""""PP""""PP""""PP""""PP""""PP""""PP""""PP""""QQ""""PP""""PP""""QQ""##QQ""""PP""""QQ""""PP""""PP""""PP""""PP""""PP""""QQ""""PP""""RUR""$$PP""""PP""""P"P"""PP""""RUR""$$PP""""PP""""PP""""SS""""PP""""QQ""""QQ""""PP""""PP""""PP""""PP""""QQ""""QQ""""QQ""""PP""""PP""""QQ""""QQ""!!!!!!""PP""PP!!""PP""""PP""""PP""""PP""""RR""!!!!!!!!!!!!!!!!!!!!!!!!!!!""PP""""PP""""QQ""""PP""""PP""""QQ""
192.168.10.14	65.152.202.208	0	Normal	"P""PP"
192.168.10.9	23.15.4.16	0	Normal	"P""PPP""P
192.168.10.14	23.50.75.27	0	Normal	"P""PS"!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!P""P
192.168.10.14	13.78.188.147	0	Normal	"P""RRQ""P#P#P"#P#P#P#P#P#P"
